Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Decoration,Pattern Type,Recommendation
Sexy,Low,4.6,M,Summer,O-neck,Sleeveless,Empire,?,Ruffles,Animal,Yes
Casual,Low,?,L,Summer,O-neck,Petal,Natural,Microfiber,Ruffles,Animal,No
Vintage,High,?,L,Autumn,O-neck,Full,Natural,Polyster,null,Print,No
Brief,Average,4.6,L,Spring,O-neck,Full,Natural,Silk,Embroidary,Print,Yes
Cute,Low,4.5,M,Summer,O-neck,Butterfly,Natural,Chiffon,Bow,Dot,No
Bohemian,Low,?,M,Summer,V-neck,Sleeveless,Empire,?,null,Print,No
Casual,Average,?,XL,Summer,O-neck,Full,?,Cotton,null,Solid,No
Novelty,Average,?,Free,Autumn,O-neck,Short,Natural,Polyster,Lace,?,No
Flare,Average,?,Free,Spring,V-neck,Short,Empire,Cotton,Beading,Solid,Yes
Bohemian,Low,?,Free,Summer,V-neck,Sleeveless,Natural,Nylon,null,?,Yes
Party,Average,5,Free,Summer,O-neck,Full,Natural,Polyster,Lace,Solid,No
Flare,Average,?,Free,Spring,V-neck,Short,?,Nylon,null,Animal,No
Sexy,Low,4.7,M,Winter,O-neck,Threequarter,?,?,Lace,Print,Yes
Vintage,Average,4.8,M,Summer,O-neck,Short,Empire,Cotton,null,Animal,Yes
Casual,Low,5,M,Summer,Boat-neck,Short,?,Cotton,Sashes,Solid,No
Casual,Low,?,Free,Winter,Boat-neck,Full,?,?,Lace,?,No
Cute,Average,4.7,L,Spring,O-neck,Short,?,Cotton,Sashes,Solid,Yes
Bohemian,Medium,5,Free,Autumn,O-neck,Full,Natural,?,Hollowout,Patchwork,Yes
Brief,Average,?,M,Winter,Peterpan-collor,Threequarter,Natural,Cotton,null,Patchwork,No
Sexy,Average,5,M,Autumn,O-neck,Sleeveless,Empire,Milksilk,null,?,Yes
Sexy,Average,4.5,L,Autumn,O-neck,Full,?,Cotton,Beading,Solid,No
Casual,Low,4.3,M,Summer,O-neck,Sleeveless,Natural,?,null,Solid,No
Brief,Low,4,XL,Summer,V-neck,Short,Natural,Cotton,Pockets,Solid,No
Sexy,Average,4.7,S,Summer,V-neck,Sleeveless,Empire,Cotton,Sequined,Solid,Yes
Sexy,Average,?,Free,Autumn,V-neck,Sleeveless,Natural,Polyster,Lace,Patchwork,No
Sexy,Average,?,M,Autumn,O-neck,Sleeveless,Empire,Cotton,null,Print,No
Sexy,Average,4.7,M,Spring,O-neck,Sleeveless,Natural,?,null,Solid,Yes
Casual,Low,?,L,Summer,O-neck,Sleeveless,Natural,Cotton,null,Print,No
Cute,Low,4.3,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Sashes,Striped,No
Cute,Low,4.7,M,Spring,Ruffled,Short,Empire,Chiffon,Bow,Dot,Yes
Casual,Average,4.6,L,Autumn,O-neck,Sleeveless,Empire,Polyster,Ruffles,Solid,No
Casual,Low,?,M,Spring,O-neck,Sleeveless,Natural,Silk,Applique,Solid,Yes
Casual,Average,4.4,L,Autumn,O-neck,Sleeveless,Natural,Linen,Ruffles,Animal,No
Brief,Average,4.3,L,Spring,O-neck,Sleeveless,Empire,?,Bow,Solid,Yes
Party,High,4.7,M,Spring,O-neck,Threequarter,?,?,null,Print,No
Casual,Low,4.6,Free,Winter,Boat-neck,Full,Natural,Cotton,null,Patchwork,Yes
Vintage,Average,4.6,Free,Winter,O-neck,Full,Natural,?,null,Print,Yes
Brief,Average,?,M,Autumn,O-neck,Short,Natural,Cotton,null,Print,No
Party,Average,4.6,M,Winter,O-neck,Sleeveless,Natural,Cotton,Lace,Solid,Yes
Casual,Average,4.5,M,Spring,V-neck,Short,Empire,Cotton,Button,Solid,Yes
Brief,Average,5,Free,Spring,V-neck,Sleeveless,Natural,Cotton,Lace,Solid,Yes
Brief,Low,4.4,L,Autumn,O-neck,Half-sleeve,Natural,Rayon,Sashes,Solid,No
Casual,Average,4.8,M,Winter,O-neck,Short,Natural,Lycra,Applique,Patchwork,No
Casual,Low,4.8,Free,Spring,O-neck,Sleeveless,Natural,Cotton,null,Print,No
Vintage,Average,4.8,M,Winter,O-neck,Sleeveless,Natural,Cotton,null,Patchwork,Yes
Sexy,Average,?,M,Winter,O-neck,Short,Natural,?,Lace,Solid,No
