Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Pattern Type,Recommendation
Brief,Average,4.6,L,Spring,O-neck,Full,Natural,Silk,Print,Yes
Cute,Low,4.5,M,Summer,O-neck,Butterfly,Natural,Chiffon,Dot,No
Party,Average,5,Free,Summer,O-neck,Full,Natural,Polyster,Solid,No
Vintage,Average,4.8,M,Summer,O-neck,Short,Empire,Cotton,Animal,Yes
Brief,Low,4,XL,Summer,V-neck,Short,Natural,Cotton,Solid,No
Sexy,Average,4.7,S,Summer,V-neck,Sleeveless,Empire,Cotton,Solid,Yes
Cute,Low,4.3,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Striped,No
Cute,Low,4.7,M,Spring,Ruffled,Short,Empire,Chiffon,Dot,Yes
Casual,Average,4.6,L,Autumn,O-neck,Sleeveless,Empire,Polyster,Solid,No
Casual,Average,4.4,L,Autumn,O-neck,Sleeveless,Natural,Linen,Animal,No
Casual,Low,4.6,Free,Winter,Boat-neck,Full,Natural,Cotton,Patchwork,Yes
Party,Average,4.6,M,Winter,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Casual,Average,4.5,M,Spring,V-neck,Short,Empire,Cotton,Solid,Yes
Brief,Average,5,Free,Spring,V-neck,Sleeveless,Natural,Cotton,Solid,Yes
Brief,Low,4.4,L,Autumn,O-neck,Half-sleeve,Natural,Rayon,Solid,No
Casual,Average,4.8,M,Winter,O-neck,Short,Natural,Lycra,Patchwork,No
Casual,Low,4.8,Free,Spring,O-neck,Sleeveless,Natural,Cotton,Print,No
Vintage,Average,4.8,M,Winter,O-neck,Sleeveless,Natural,Cotton,Patchwork,Yes
Sexy,Average,4.8,L,Spring,V-neck,Threequarter,Empire,Polyster,Geometric,No
Casual,Low,4.7,M,Summer,O-neck,Sleeveless,Empire,Milksilk,Solid,No
Casual,Average,4.6,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Solid,Yes
Sexy,Average,4.5,M,Spring,O-neck,Threequarter,Natural,Polyster,Geometric,No
Casual,Average,4.9,S,Winter,Turndowncollar,Full,Natural,Cotton,Solid,Yes
Bohemian,Low,4.5,M,Summer,V-neck,Sleeveless,Natural,Polyster,Print,Yes
Casual,Average,5,M,Summer,O-neck,Short,Empire,Polyster,Animal,No
Sexy,Low,4,S,Autumn,O-neck,Sleeveless,Empire,Cotton,Solid,Yes
Casual,Average,5,M,Autumn,V-neck,Short,Natural,Cotton,Solid,No
Casual,Medium,4.5,S,Winter,O-neck,Full,Natural,Polyster,Patchwork,Yes
Work,Average,4.8,L,Summer,V-neck,Short,Natural,Polyster,Solid,No
Bohemian,Average,5,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Print,Yes
Sexy,Average,4.2,M,Winter,V-neck,Sleeveless,Natural,Cotton,Solid,No
Casual,Low,4.8,Free,Spring,O-neck,Full,Natural,Cotton,Solid,No
Casual,Low,4.4,S,Autumn,O-neck,Sleeveless,Natural,Polyster,Solid,No
Casual,Low,5,M,Summer,V-neck,Sleeveless,Empire,Polyster,Animal,No
Party,Average,4.7,M,Spring,V-neck,Sleeveless,Natural,Polyster,Solid,No
Sexy,Low,5,Free,Spring,O-neck,Full,Natural,Cotton,Striped,No
Casual,Average,4.8,L,Winter,O-neck,Short,Natural,Cotton,Solid,Yes
Sexy,Low,4.8,M,Spring,O-neck,Half-sleeve,Natural,Silk,Solid,No
Sexy,Low,4.8,L,Summer,V-neck,Full,Natural,Cotton,Print,Yes
Work,Medium,4.6,L,Winter,Square-collar,Short,Empire,Cotton,Solid,No
